node_id,label,cluster,degree_centrality,pagerank,closeness_centrality,betweenness_centrality,clustering_coefficient,within_cluster_degree,within_cluster_pagerank,within_cluster_closeness,participation_coefficient
995,"Kross, 2013",4,0.20175438596491227,0.008301350538749606,0.475,0.0012383662855778865,0.7075098814229249,0.7777777777777777,0.05066232080665767,0.8181818181818182,0.5746691871455576
1017,"Vandewater, 2004",1,0.23684210526315788,0.011440465545327289,0.5229357798165137,0.011475194890518953,0.4928774928774929,0.48,0.044859497149819655,0.625,0.5322359396433471
1018,"Vandewater, 2006",1,0.20175438596491227,0.009923231008926807,0.5533980582524272,0.017335751050340003,0.4268774703557312,0.6,0.055597967164513304,0.6944444444444444,0.5103969754253308
1019,"Vandewater, 2007",1,0.15789473684210525,0.007917591044716978,0.5022026431718062,0.0030514290436524107,0.6013071895424836,0.36,0.034904056917847565,0.5813953488372093,0.6419753086419753
1036,"Swing, 2010",1,0.08771929824561403,0.005358105083414643,0.4028268551236749,0.0005469185904721906,0.6888888888888889,0.36,0.03547642430512316,0.5681818181818182,0.17999999999999994
1037,"Weaver, 2010",2,0.18421052631578946,0.009103514171125968,0.47107438016528924,0.0026785902658497266,0.6952380952380952,0.9047619047619047,0.05760845677047832,0.9130434782608695,0.1768707482993196
1060,"Weiser, 2001",3,0.21052631578947367,0.008697087705486599,0.5253456221198156,0.002393573753079219,0.6521739130434783,0.631578947368421,0.0494695034160067,0.7307692307692307,0.6666666666666667
1189,"Cheung, 2002",3,0.20175438596491227,0.008839096267262696,0.5327102803738317,0.009737481531855722,0.5177865612648221,0.6842105263157894,0.05245519278609075,0.76,0.5935727788279774
1240,"Song, 2014",4,0.2543859649122807,0.0102449070637717,0.4978165938864629,0.003748899965595964,0.5911330049261084,0.7777777777777777,0.05066232080665767,0.8181818181818182,0.6611177170035671
1246,"Cole, 2007",3,0.20175438596491227,0.008387747569100799,0.5066666666666667,0.002248692301155585,0.6482213438735178,0.7894736842105263,0.05943782932749916,0.8260869565217391,0.5368620037807184
1255,"Wang, 2010",5,0.23684210526315788,0.009765394611232695,0.5327102803738317,0.005319557532880918,0.6239316239316239,0.6153846153846154,0.07287248988223913,0.7222222222222222,0.6200274348422496
1269,"Granic, 2014",1,0.21052631578947367,0.00955305876475983,0.5480769230769231,0.02479921041168635,0.42028985507246375,0.28,0.02894235452482205,0.5319148936170213,0.7395833333333333
1279,"Sharif, 2010",1,0.17543859649122806,0.00921736551751034,0.5,0.013735893494153651,0.42105263157894735,0.64,0.05965353368243287,0.7352941176470589,0.33999999999999986
1362,"Gunn, 2012",3,0.35964912280701755,0.014557125680248561,0.6096256684491979,0.05961112078787273,0.3804878048780488,0.5789473684210527,0.04522950336941863,0.7037037037037037,0.7983343248066628
1391,"Katz, 1997",5,0.19298245614035087,0.008468454231654304,0.5158371040723982,0.010855309287141176,0.6493506493506493,0.5384615384615385,0.06662542339518131,0.6842105263157895,0.7355371900826446
